,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Please send all questions/comments/updates to townhallproject2018@gmail.com,,,,,,,,,,,,,
,,"**Compiled by volunteers from each Congress member's official website, Twitter, or Facebook.",,,,,,,Glossary:,Town Hall - A forum where members of Congress give updates on the current affairs of Congress and answer questions from constituents,,,,,
,,Last Updated: ,"Feb 12, 2017 at 1:01 PM",,,,,,,"Office Hours - Serves the same purpose as a Town Hall, however Elected Officials are not always expected to attend",,,,,
,,Find the Town Hall Project 2018 on:,,,,Twitter,,,,"Ticketed Event - Oftentimes county party events, local fundraisers, or campaign functions. There may be a fee for admission.",,,,,
,,,,,,Facebook,,,,Tele-Town Hall - A town hall conducted by conference call.,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Member,Party,Home State,District,Meeting Type,Date,Time,Time Zone,Location,Street Address,City,State,Zip,Notes
,,Paul Gosar,Republican,Arizona,AZ-4,Town Hall,"Thu, Feb 23, 2017",6:00 PM,MST,Best Western Hotel,8333 E Sunrise Sky Dr,Gold Canyon,AZ,85118, 
,,Martha McSally,Republican,Arizona,AZ-2,Town Hall,"Thu, Feb 23, 2017",5:30 PM - 7:30 PM,MST,St Francis in the Foothills United Methodist Church,4625 E River Rd,Catalina Foothills,AZ,85718,"Rep. McSally not confirmed, only invited. Attendees must register: https://www.eventbrite.com/e/arizona-cd-2-town-hall-tickets-31850266003?aff=efbnreg"
,,Jackie Speier,Democratic,California,CA-14,Town Hall,"Sat, Feb 11, 2017",11:00 AM,PST,Place Lowell High School - Carol Channing theater,1101 Eucalyptus Dr,San Francisco,CA,94132,"Lowell High School PTSA invites you to attend when Congresswomen Jackie Speier has a ""Conversation about America"" with people who have questions about the changes that are confronting us. Ticketed event, please register HERE"
,,Jimmy Panetta,Democratic,California,CA-20,Town Hall,"Sun, Feb 12, 2017",1:00 PM,PST,Hartnell Community College - Steinbeck Hall,411 Central Ave,Salinas,CA,93901,Town Hall meeting to hear from Central Coast residents about concerns regarding Pres. Trump's executive order on immigration. 
,,Zoe Lofgren,Democratic,California,CA-19,Town Hall,"Sun, Feb 12, 2017",1:00 PM,PST,Hartnell Community College - Steinbeck Hall,411 Central Ave,Salinas,CA,93901,Town Hall meeting to hear from Central Coast residents about concerns regarding Pres. Trump's executive order on immigration. 
,,Karen Bass,Democratic,California,CA-37,Other,"Sat, Feb 18, 2017",10:00 AM - 12:00 PM,PST,Holman United Methodist Church,3320 W. Adams Blvd.,Los Angeles,CA,90018,Organizing Meeting
,,Karen Bass,Democratic,California,CA-37,Other,"Sun, Feb 19, 2017",10:00 AM - 12:00 PM,PST,IMAN Cultural Center,3376 Motor Ave.,Los Angeles,CA,90034,Organizing Meeting
,,Ami Bera,Democratic,California,CA-7,Office Hours,"Tue, Feb 21, 2017",10:00 AM,PST,SPL- Arden Dimick Branch,891 Watt Ave.,Sacremento,CA,95864,Staff. Rep. Bera not in attendance
,,Darrell Issa,Republican,California,CA-49,"""Empty Chair"" Town Hall
","Tue, Feb 21, 2017",6:00 PM - 8:00 PM,PST,Jim Porter Recreation Center,1200 Vale Terrace Dr,Vista,CA,92084,"""Empty chair town hall."" Rep. Issa invited and constituents expect his presence. https://www.facebook.com/events/150691435436534/"
,,Tony Cárdenas,Democratic,California,CA-29,Town Hall,"Tue, Feb 21, 2017",6:30 PM - 8:00 PM,PST,Cesar E Chavez Learning Academies-Social Justice,1001 Arroyo St,San Fernando,CA,91340,RSVP: https://www.facebook.com/events/250884468699971/
,,Ro Khanna,Democratic,California,CA-17,Town Hall,"Wed, Feb 22, 2017",7:30 PM,PST,Ohlone College,43600 Mission Blvd,Fremont,CA,94539,https://twitter.com/RepRoKhanna/status/829028535725617152
,,Brad Sherman,Democratic,California,CA-30,Open House,"Fri, Feb 24, 2017",3:30 PM,PST,District Office,"6150 Van Nuys Blvd, Suite 306",Van Nuys,CA,,"Join State Rep. Matthew Dababneh and Congressman Sherman for an Open House to discuss issues affecting our community and state, or share your ideas for possible legislation. "
,,Pete Aguilar,Democratic,California,CA-31,Office Hours,"Tue, Mar 7, 2017",2:00 PM,PST,James L. Brulte Senior Center,11200 Baseline Rd.,Rancho Cucamonga,CA,91701,Staff. Rep Aguilar not in attendance
,,Ami Bera,Democratic,California,CA-7,Office Hours,"Tue, Mar 7, 2017",10:00 AM,PST,SPL - Southgate Branch,6132 66th Avenue,Sacramento,CA,95823,RSVP Link: https://bera.house.gov/upcomingevents#rsvpforlibraryofficehours
,,Mike Thompson,Democratic,California,CA-5,Other,"Sat, Apr 1, 2017",6:00 PM,PST,Boatique Winery,8255 Red Hills Rd,Kelseyville,CA, ,"Unclear what type of event this is; website says ""More information soon"""
